"time","area","value"
"2025-01-05 00:00:00.000 +0000",SE2,15.56
"2025-01-05 00:00:00.000 +0000",SE3,77.0
"2025-01-05 01:00:00.000 +0000",NO3,24.8
"2025-01-05 01:00:00.000 +0000",SE2,15.38
"2025-01-05 01:00:00.000 +0000",SE3,71.0
"2025-01-05 02:00:00.000 +0000",NO3,24.65
"2025-01-05 02:00:00.000 +0000",SE2,13.98
"2025-01-05 02:00:00.000 +0000",SE3,177.0
"2025-01-05 03:00:00.000 +0000",NO3,25.55
"2025-01-05 03:00:00.000 +0000",SE2,13.81
"2025-01-05 03:00:00.000 +0000",SE3,201.15
"2025-01-05 04:00:00.000 +0000",NO3,28.77
"2025-01-05 04:00:00.000 +0000",SE2,12.49
"2025-01-05 04:00:00.000 +0000",SE3,385.88
"2025-01-05 05:00:00.000 +0000",NO3,33.52
"2025-01-05 05:00:00.000 +0000",SE2,13.17
"2025-01-05 05:00:00.000 +0000",SE3,150.0
"2025-01-05 06:00:00.000 +0000",NO3,28.1
"2025-01-05 06:00:00.000 +0000",SE2,14.45
"2025-01-05 06:00:00.000 +0000",SE3,150.0
"2025-01-05 07:00:00.000 +0000",NO3,36.65
"2025-01-05 07:00:00.000 +0000",SE2,3.0
"2025-01-05 07:00:00.000 +0000",SE3,140.0
"2025-01-05 08:00:00.000 +0000",NO3,38.84
"2025-01-05 08:00:00.000 +0000",SE2,3.5
"2025-01-05 08:00:00.000 +0000",SE3,132.0
"2025-01-05 09:00:00.000 +0000",NO3,37.33
"2025-01-05 09:00:00.000 +0000",SE2,3.5
"2025-01-05 09:00:00.000 +0000",SE3,185.0
"2025-01-05 10:00:00.000 +0000",NO3,38.95
"2025-01-05 10:00:00.000 +0000",SE2,3.5
"2025-01-05 10:00:00.000 +0000",SE3,233.39
"2025-01-05 11:00:00.000 +0000",NO3,37.03
"2025-01-05 11:00:00.000 +0000",SE2,17.89
"2025-01-05 11:00:00.000 +0000",SE3,233.39
"2025-01-05 12:00:00.000 +0000",NO3,37.42
"2025-01-05 12:00:00.000 +0000",SE2,17.86
"2025-01-05 12:00:00.000 +0000",SE3,230.0
"2025-01-05 13:00:00.000 +0000",NO3,34.34
"2025-01-05 13:00:00.000 +0000",SE2,19.6
"2025-01-05 13:00:00.000 +0000",SE3,115.0
