"time","area","value"
"2025-01-05 03:00:00.000 +0000",NO3,25.55
"2025-01-05 04:00:00.000 +0000",SE3,69.12
"2025-01-05 04:00:00.000 +0000",SE2,12.49
"2025-01-05 04:00:00.000 +0000",NO3,28.77
"2025-01-05 05:00:00.000 +0000",SE3,82.95
"2025-01-05 05:00:00.000 +0000",SE2,13.17
"2025-01-05 05:00:00.000 +0000",NO3,33.52
"2025-01-05 06:00:00.000 +0000",SE3,83.25
"2025-01-05 06:00:00.000 +0000",SE2,14.45
"2025-01-05 06:00:00.000 +0000",NO3,28.1
"2025-01-05 07:00:00.000 +0000",SE3,86.89
"2025-01-05 07:00:00.000 +0000",SE2,14.14
"2025-01-05 07:00:00.000 +0000",NO3,36.65
"2025-01-05 08:00:00.000 +0000",SE3,91.06
"2025-01-05 08:00:00.000 +0000",SE2,15.53
"2025-01-05 08:00:00.000 +0000",NO3,38.84
"2025-01-05 09:00:00.000 +0000",SE3,85.67
"2025-01-05 09:00:00.000 +0000",SE2,16.06
"2025-01-05 09:00:00.000 +0000",NO3,37.33
"2025-01-05 10:00:00.000 +0000",SE3,91.94
"2025-01-05 10:00:00.000 +0000",SE2,16.64
"2025-01-05 10:00:00.000 +0000",NO3,38.95
"2025-01-05 11:00:00.000 +0000",SE3,84.46
"2025-01-05 11:00:00.000 +0000",SE2,17.89
"2025-01-05 11:00:00.000 +0000",NO3,37.03
"2025-01-05 12:00:00.000 +0000",SE3,79.93
"2025-01-05 12:00:00.000 +0000",SE2,17.86
"2025-01-05 12:00:00.000 +0000",NO3,37.42
"2025-01-05 13:00:00.000 +0000",SE3,69.27
"2025-01-05 13:00:00.000 +0000",SE2,19.6
"2025-01-05 13:00:00.000 +0000",NO3,34.34
"2025-01-05 14:00:00.000 +0000",SE3,52.64
"2025-01-05 14:00:00.000 +0000",SE2,24.88
"2025-01-05 14:00:00.000 +0000",NO3,30.27
"2025-01-05 15:00:00.000 +0000",SE3,51.61
"2025-01-05 15:00:00.000 +0000",SE2,52.36
"2025-01-05 15:00:00.000 +0000",NO3,39.08
"2025-01-05 16:00:00.000 +0000",SE3,67.31
"2025-01-05 16:00:00.000 +0000",SE2,67.08
"2025-01-05 16:00:00.000 +0000",NO3,48.01
"2025-01-05 17:00:00.000 +0000",SE3,64.72
"2025-01-05 17:00:00.000 +0000",SE2,64.48
"2025-01-05 17:00:00.000 +0000",NO3,46.33
"2025-01-05 18:00:00.000 +0000",SE3,51.93
"2025-01-05 18:00:00.000 +0000",SE2,50.62
"2025-01-05 18:00:00.000 +0000",NO3,37.73
"2025-01-05 19:00:00.000 +0000",SE3,37.01
"2025-01-05 19:00:00.000 +0000",SE2,37.2
"2025-01-05 19:00:00.000 +0000",NO3,32.68
"2025-01-05 20:00:00.000 +0000",SE3,37.21
"2025-01-05 20:00:00.000 +0000",SE2,37.63
"2025-01-05 20:00:00.000 +0000",NO3,29.68
"2025-01-05 21:00:00.000 +0000",SE3,34.86
"2025-01-05 21:00:00.000 +0000",SE2,35.14
"2025-01-05 21:00:00.000 +0000",NO3,29.19
"2025-01-05 22:00:00.000 +0000",SE3,27.76
"2025-01-05 22:00:00.000 +0000",SE2,27.36
"2025-01-05 22:00:00.000 +0000",NO3,33.08
"2025-01-05 23:00:00.000 +0000",SE3,27.05
"2025-01-05 23:00:00.000 +0000",SE2,26.53
"2025-01-05 23:00:00.000 +0000",NO3,32.85
"2025-01-06 00:00:00.000 +0000",SE3,23.35
"2025-01-06 00:00:00.000 +0000",SE2,22.86
"2025-01-06 00:00:00.000 +0000",NO3,28.41
"2025-01-06 01:00:00.000 +0000",SE3,19.45
"2025-01-06 01:00:00.000 +0000",SE2,19.37
"2025-01-06 01:00:00.000 +0000",NO3,25.49
"2025-01-06 02:00:00.000 +0000",SE3,16.74
"2025-01-06 02:00:00.000 +0000",SE2,16.91
"2025-01-06 02:00:00.000 +0000",NO3,23.15
"2025-01-06 03:00:00.000 +0000",SE3,15.57
"2025-01-06 03:00:00.000 +0000",SE2,15.75
"2025-01-06 03:00:00.000 +0000",NO3,21.27
"2025-01-06 04:00:00.000 +0000",SE3,14.99
"2025-01-06 04:00:00.000 +0000",SE2,15.41
"2025-01-06 04:00:00.000 +0000",NO3,22.02
"2025-01-06 05:00:00.000 +0000",SE3,24.55
"2025-01-06 05:00:00.000 +0000",SE2,23.95
"2025-01-06 05:00:00.000 +0000",NO3,30.44
"2025-01-06 06:00:00.000 +0000",SE3,30.0
"2025-01-06 06:00:00.000 +0000",SE2,29.32
"2025-01-06 06:00:00.000 +0000",NO3,36.76
"2025-01-06 07:00:00.000 +0000",SE3,37.66
"2025-01-06 07:00:00.000 +0000",SE2,36.83
"2025-01-06 07:00:00.000 +0000",NO3,46.18
"2025-01-06 08:00:00.000 +0000",SE3,35.17
"2025-01-06 08:00:00.000 +0000",SE2,34.56
"2025-01-06 08:00:00.000 +0000",NO3,41.03
"2025-01-06 09:00:00.000 +0000",SE3,34.24
"2025-01-06 09:00:00.000 +0000",SE2,33.88
"2025-01-06 09:00:00.000 +0000",NO3,37.15
"2025-01-06 10:00:00.000 +0000",SE3,32.42
