"time","forecast"," "
2025-01-06 03:00:00,replan,10.240129
2025-01-06 04:00:00,dayahead,1.5043981
2025-01-06 04:00:00,replan,5.3812575
2025-01-06 05:00:00,dayahead,1.2506938
2025-01-06 05:00:00,replan,0.18568689
2025-01-06 06:00:00,dayahead,1.727465
2025-01-06 06:00:00,replan,0.19070226
2025-01-06 07:00:00,dayahead,2.0659485
2025-01-06 07:00:00,replan,0.19383407
2025-01-06 08:00:00,dayahead,1.0502459
2025-01-06 08:00:00,replan,1.2048888
2025-01-06 09:00:00,dayahead,2.4472692
2025-01-06 09:00:00,replan,0.99071485
2025-01-06 10:00:00,dayahead,5.6029606
2025-01-06 10:00:00,replan,2.4438908
2025-01-06 11:00:00,dayahead,7.927385
2025-01-06 11:00:00,replan,6.8223486
2025-01-06 12:00:00,dayahead,12.810237
2025-01-06 12:00:00,replan,4.8724
2025-01-06 13:00:00,dayahead,11.810225
2025-01-06 13:00:00,replan,9.138112
2025-01-06 14:00:00,dayahead,12.564224
2025-01-06 14:00:00,replan,29.21765
2025-01-06 15:00:00,dayahead,16.109997
2025-01-06 15:00:00,replan,38.47598
2025-01-06 16:00:00,dayahead,20.05959
2025-01-06 16:00:00,replan,45.449867
2025-01-06 17:00:00,dayahead,37.40268
2025-01-06 17:00:00,replan,35.789146
2025-01-06 18:00:00,dayahead,57.674866
2025-01-06 18:00:00,replan,31.68983
2025-01-06 19:00:00,dayahead,69.77309
2025-01-06 19:00:00,replan,27.128027
2025-01-06 20:00:00,dayahead,74.56484
2025-01-06 20:00:00,replan,19.571781
2025-01-06 21:00:00,dayahead,86.20776
2025-01-06 21:00:00,replan,16.825716
2025-01-06 22:00:00,dayahead,97.91123
2025-01-06 22:00:00,replan,30.267452
2025-01-06 23:00:00,dayahead,103.30822
2025-01-06 23:00:00,dayahead,102.2164
2025-01-06 23:00:00,replan,29.205906
2025-01-07 00:00:00,dayahead,119.91392
2025-01-07 00:00:00,dayahead,118.64407
2025-01-07 00:00:00,replan,30.151304
2025-01-07 01:00:00,dayahead,122.98478
2025-01-07 01:00:00,dayahead,121.703766
2025-01-07 01:00:00,replan,33.8067
2025-01-07 02:00:00,dayahead,126.21613
2025-01-07 02:00:00,dayahead,125.22101
2025-01-07 02:00:00,replan,27.54911
2025-01-07 03:00:00,dayahead,122.02882
2025-01-07 03:00:00,dayahead,121.41651
2025-01-07 03:00:00,replan,30.167723
2025-01-07 04:00:00,dayahead,124.08897
2025-01-07 04:00:00,dayahead,123.32652
2025-01-07 04:00:00,replan,45.4422
2025-01-07 05:00:00,dayahead,123.30551
2025-01-07 05:00:00,dayahead,122.32084
2025-01-07 05:00:00,replan,44.176308
2025-01-07 06:00:00,dayahead,121.00378
2025-01-07 06:00:00,dayahead,120.21763
2025-01-07 06:00:00,replan,42.4897
2025-01-07 07:00:00,dayahead,116.53778
2025-01-07 07:00:00,dayahead,115.7822
2025-01-07 07:00:00,replan,19.999256
2025-01-07 08:00:00,dayahead,120.40078
2025-01-07 08:00:00,dayahead,119.658035
2025-01-07 08:00:00,replan,26.624138
2025-01-07 09:00:00,dayahead,118.63697
2025-01-07 09:00:00,dayahead,117.59846
2025-01-07 09:00:00,replan,33.332867
2025-01-07 10:00:00,dayahead,105.43043
2025-01-07 10:00:00,dayahead,104.78032
2025-01-07 10:00:00,replan,34.408947
2025-01-07 11:00:00,dayahead,101.7738
2025-01-07 11:00:00,dayahead,101.429054
2025-01-07 11:00:00,replan,27.88523
2025-01-07 12:00:00,dayahead,98.47351
2025-01-07 12:00:00,dayahead,98.40833
2025-01-07 12:00:00,replan,21.720093
2025-01-07 13:00:00,dayahead,75.33522
2025-01-07 13:00:00,dayahead,74.89622
2025-01-07 13:00:00,replan,13.51592
